33051 56873 62773 73557 100067 105115,3
1793 3029 39173 56224 59545 74104 75894 76616 106665 107457,9
11223 31620 61663 67601 95696 103869 105579,3
902 7640 29824 54220 57897 105548 106900,3
11954 30659 37245 56519 74693 75512 80643 105596 106504,17
6338 21607 74352 106996 108439,4
6192 14343 22136 28145 47502 53921 83886 90067 100543 101907,4
2204 19764 33646 60745 71381 91946 100524 105026,14
1605 3597 32042 35114 48728 63665 64148 82677 101949 103689,27
12223 17784 82524 103108 107526,3
6117 9395 42863 44390 45009 68686 68715 77191 104039 105382,11
3711 4018 12926 27882 71557 76657 99404 107061,4
2758 7276 19207 24080 50771 80255 105058 108339,4
1056 9069 21101 70111 83816 88460 102494 103867,17
23326 39677 47607 75150 77273 82621 84304 87986 100368 109316,5
30219 32154 47987 62353 62693 64507 73154 99608 104231,1
5783 17362 20757 43182 47153 51187 59719 65754 103261 104720,12
23347 23361 26387 40297 65089 84250 102204 103322,6
1291 1964 24497 28594 69633 71799 84215 100435 105555,26
12212 22093 25156 61688 73231 74520 88437 93743 101655 108326,5
889 5360 7100 31840 42520 48113 49397 55556 104250 104845,3
11153 15457 16202 23928 28170 101782 105457,1
11129 26825 64687 70292 96294 102497 106457,2
37087 44315 65100 74165 76228 101633 101786,2
4191 8595 23959 28157 39144 46245 79566 103794 106025,1
6976 9810 48910 63792 73013 89891 95963 101184 105154,2
7748 42313 42932 47554 53332 61282 61670 90283 103846 105870,5
9519 11611 28577 34539 45007 83280 85941 102522 107971,11
43876 51239 71193 78601 106226 107539,1
6777 13220 13361 71498 71951 95723 100360 106591,2
5304 57773 85641 104199 108281,4
52706 64301 65777 66908 68451 92993 106157 106242,3
6181 11074 40892 45162 59247 82357 103436 106355,2
11830 34877 37683 42652 42785 102613 109281,23
57137 69748 80617 101607 102316,4
5380 20088 39027 73581 101718 108482,1
1996 8562 32927 56465 63726 75294 76257 103079 107195,5
49436 72226 74125 99856 106807,2
24137 51258 56953 102087 105458,4
12309 61918 76340 76638 76745 80315 87038 100728 101107,4
481 1331 26983 49746 84181 102708 106566,7
31127 32243 42816 65504 68941 100803 106476,3
18454 18711 27806 55426 99567 108574,8
45335 55341 71894 78705 91914 103149 105296,1
13255 83619 87038 91055 104258 104449,13
21301 60294 69760 76563 99998 101892,6
1468 17766 57197 57198 58316 59401 102834 108270,2
5159 14924 28704 29447 43280 49221 70765 100368 104941,7
5882 55968 56050 69279 101212 101714,7
4682 30452 39612 46272 47620 80124 102404 103137,2
24304 26401 26579 100873 108802,6
2126 3441 15837 37286 59571 102044 106223,26
3049 6404 28446 41688 50870 66934 83255 102159 102775,4
3965 40268 71494 73986 74041 100208 104644,3
20858 35984 37672 42751 52471 56835 68786 81783 103936 107630,4
11725 13680 13938 23613 25370 52693 56651 105450 106192,2
2283 3065 15731 29857 44536 60124 76886 99382 104566,55
18237 24530 34306 40952 43355 57466 105045 107198,8
2370 13265 15538 28047 30535 69514 96051 100209 101061,1
12706 13828 43723 45256 68587 99464 108345,2
40333 62184 86504 108316 109032,1
10791 21715 36260 48797 57944 60795 66911 68887 101207 108449,5
7381 39921 78157 108806 109344,6
29185 40784 42317 51450 74119 75411 83918 103294 104741,4
11780 22099 66509 78536 88160 102260 109288,1
1551 49392 67342 78169 90805 99985 102140,3
11011 21248 51959 54344 83404 101614 103944,4
8629 22421 36056 43043 60185 76296 83463 99867 108379,18
5460 23247 28703 60936 70906 73612 105769 107452,6
6490 13492 15793 25766 26779 88498 105248 107170,4
32739 39728 46281 54122 57479 97096 101108 106654,1
8130 63849 86629 99554 100834,7
9195 18806 42375 69610 78112 92181 93582 104504 105011,11
33449 66984 77936 99518 103292,2
12091 24283 25874 49864 61900 69183 71773 106532 107942,9
10766 24196 27940 41686 64972 78759 88403 102009 108397,5
14213 27236 41499 43792 81962 89986 100815 105715,11
2429 21239 24391 31866 34436 74014 105665 106190,10
12957 22056 30607 44096 62773 84651 106566 108792,9
913 25868 32628 49176 54820 55121 56907 85888 105173 105941,5
6049 38197 38233 49028 66381 69996 75639 83335 104220 107378,35
7310 22383 22717 27556 51042 56718 60386 86291 101466 108022,5
9895 27740 89079 102170 102328,1
44415 69264 84174 101262 102869,1
41839 51910 62065 68546 83281 88667 100805 107853,3
7363 57652 82767 99557 101067,2
229 23952 29366 52697 81313 89452 105336 107699,6
22952 36319 40340 61677 73647 102069 103922,6
17537 25623 31405 77667 101645 102297,3
27372 29096 29202 55649 58696 71205 86528 104439 109213,5
6692 14870 31910 57128 83238 89027 103529 107813,23
933 33426 53035 65076 70715 96646 103332 104720,6
28933 35948 46587 48392 54984 58122 88398 95798 105013 107560,2
867 38840 40863 54420 68843 73058 98342 99671 101135,17
15140 40407 61660 76540 105899 106316,4
774 17265 21483 31607 34271 46865 88470 108028 108055,4
11961 53945 79379 103285 108458,9
4625 25812 38791 67681 71225 79207 83210 102394 104469,2
1003 8800 12173 14365 16817 57902 70321 85982 100784 108388,7
2376 19341 35103 57789 79886 82973 83595 104434 108349,4
